date,feature,attribution_value
2021-06-08,mslp_anomaly,0.6132
2021-06-08,olr_anomaly,1.1406
2021-06-08,satellite_proxy,0.6271
2021-06-08,rainfall_anomaly,-0.0375
2021-06-08,lps_flag,-0.0105
2021-06-08,wd_flag,0.0
2021-06-08,trough_position_lat,0.035
2021-06-08,zonal_shear_850,0.7157
2021-06-08,orographic_index,1.0994
2021-06-08,coastal_convergence_index,0.3871
2021-06-09,mslp_anomaly,0.5968
2021-06-09,olr_anomaly,1.1387
2021-06-09,satellite_proxy,0.6597
2021-06-09,rainfall_anomaly,0.0141
2021-06-09,lps_flag,-0.0105
2021-06-09,wd_flag,0.0
2021-06-09,trough_position_lat,0.035
2021-06-09,zonal_shear_850,0.6452
2021-06-09,orographic_index,1.0999
2021-06-09,coastal_convergence_index,0.3912
2021-06-10,mslp_anomaly,0.1795
2021-06-10,olr_anomaly,0.0569
2021-06-10,satellite_proxy,0.0333
2021-06-10,rainfall_anomaly,-0.0243
2021-06-10,lps_flag,-0.0041
2021-06-10,wd_flag,0.0385
2021-06-10,trough_position_lat,0.0789
2021-06-10,zonal_shear_850,0.8152
2021-06-10,orographic_index,0.7438
2021-06-10,coastal_convergence_index,0.9556
2021-06-11,mslp_anomaly,0.1812
2021-06-11,olr_anomaly,0.0569
2021-06-11,satellite_proxy,-0.0618
2021-06-11,rainfall_anomaly,-0.0225
2021-06-11,lps_flag,-0.0041
2021-06-11,wd_flag,0.0373
2021-06-11,trough_position_lat,0.0849
2021-06-11,zonal_shear_850,0.8152
2021-06-11,orographic_index,0.7415
2021-06-11,coastal_convergence_index,0.9512
2021-06-12,mslp_anomaly,0.1235
2021-06-12,olr_anomaly,0.0508
2021-06-12,satellite_proxy,0.0334
2021-06-12,rainfall_anomaly,-0.0208
2021-06-12,lps_flag,0.0369
2021-06-12,wd_flag,0.0385
2021-06-12,trough_position_lat,0.0684
2021-06-12,zonal_shear_850,0.7716
2021-06-12,orographic_index,0.5326
2021-06-12,coastal_convergence_index,2.0602
2021-06-13,mslp_anomaly,0.1222
2021-06-13,olr_anomaly,0.0583
2021-06-13,satellite_proxy,0.032
2021-06-13,rainfall_anomaly,-0.0237
2021-06-13,lps_flag,0.0369
2021-06-13,wd_flag,0.0385
2021-06-13,trough_position_lat,-0.0281
2021-06-13,zonal_shear_850,0.8658
2021-06-13,orographic_index,0.6377
2021-06-13,coastal_convergence_index,0.8725
2021-06-14,mslp_anomaly,-0.0
2021-06-14,olr_anomaly,-0.0
2021-06-14,satellite_proxy,0.0
2021-06-14,rainfall_anomaly,0.0
2021-06-14,lps_flag,10.3325
2021-06-14,wd_flag,0.0
2021-06-14,trough_position_lat,0.0
2021-06-14,zonal_shear_850,0.0
2021-06-14,orographic_index,0.0
2021-06-14,coastal_convergence_index,-0.0
2021-06-15,mslp_anomaly,-0.0
2021-06-15,olr_anomaly,-0.0
2021-06-15,satellite_proxy,0.0
2021-06-15,rainfall_anomaly,0.0
2021-06-15,lps_flag,10.3325
2021-06-15,wd_flag,0.0
2021-06-15,trough_position_lat,0.0
2021-06-15,zonal_shear_850,0.0
2021-06-15,orographic_index,0.0
2021-06-15,coastal_convergence_index,-0.0
2021-06-16,mslp_anomaly,0.0037
2021-06-16,olr_anomaly,0.0171
2021-06-16,satellite_proxy,1e-04
2021-06-16,rainfall_anomaly,8.0534
2021-06-16,lps_flag,0.0
2021-06-16,wd_flag,0.0
2021-06-16,trough_position_lat,0.0
2021-06-16,zonal_shear_850,0.0071
2021-06-16,orographic_index,-0.0478
2021-06-16,coastal_convergence_index,-0.0237
2021-06-17,mslp_anomaly,0.002
2021-06-17,olr_anomaly,0.0092
2021-06-17,satellite_proxy,1e-04
2021-06-17,rainfall_anomaly,7.2476
2021-06-17,lps_flag,0.0
2021-06-17,wd_flag,0.0
2021-06-17,trough_position_lat,0.0
2021-06-17,zonal_shear_850,0.0038
2021-06-17,orographic_index,-0.035
2021-06-17,coastal_convergence_index,0.7822
2021-06-18,mslp_anomaly,0.0037
2021-06-18,olr_anomaly,0.0171
2021-06-18,satellite_proxy,1e-04
2021-06-18,rainfall_anomaly,8.0534
2021-06-18,lps_flag,0.0
2021-06-18,wd_flag,0.0
2021-06-18,trough_position_lat,-0.0
2021-06-18,zonal_shear_850,0.0071
2021-06-18,orographic_index,-0.0478
2021-06-18,coastal_convergence_index,-0.0237
2021-06-19,mslp_anomaly,0.0037
2021-06-19,olr_anomaly,0.0171
2021-06-19,satellite_proxy,1e-04
2021-06-19,rainfall_anomaly,8.0534
2021-06-19,lps_flag,0.0
2021-06-19,wd_flag,0.0
2021-06-19,trough_position_lat,0.0
2021-06-19,zonal_shear_850,0.0071
2021-06-19,orographic_index,-0.0478
2021-06-19,coastal_convergence_index,-0.0237
2021-06-20,mslp_anomaly,0.0037
2021-06-20,olr_anomaly,0.0171
2021-06-20,satellite_proxy,1e-04
2021-06-20,rainfall_anomaly,8.0534
2021-06-20,lps_flag,0.0
2021-06-20,wd_flag,0.0
2021-06-20,trough_position_lat,0.0
2021-06-20,zonal_shear_850,0.0071
2021-06-20,orographic_index,-0.0478
2021-06-20,coastal_convergence_index,-0.0237
2021-06-21,mslp_anomaly,0.0037
2021-06-21,olr_anomaly,0.0171
2021-06-21,satellite_proxy,1e-04
2021-06-21,rainfall_anomaly,8.0534
2021-06-21,lps_flag,0.0
2021-06-21,wd_flag,0.0
2021-06-21,trough_position_lat,0.0
2021-06-21,zonal_shear_850,0.0071
2021-06-21,orographic_index,-0.0478
2021-06-21,coastal_convergence_index,-0.0237
2021-06-22,mslp_anomaly,0.0037
2021-06-22,olr_anomaly,0.0171
2021-06-22,satellite_proxy,1e-04
2021-06-22,rainfall_anomaly,8.0474
2021-06-22,lps_flag,0.0
2021-06-22,wd_flag,0.0
2021-06-22,trough_position_lat,0.0
2021-06-22,zonal_shear_850,0.0071
2021-06-22,orographic_index,-0.0476
2021-06-22,coastal_convergence_index,-0.0179
2021-06-23,mslp_anomaly,0.1912
2021-06-23,olr_anomaly,0.0745
2021-06-23,satellite_proxy,-0.0763
2021-06-23,rainfall_anomaly,-0.1022
2021-06-23,lps_flag,-0.004
2021-06-23,wd_flag,0.0368
2021-06-23,trough_position_lat,-0.0387
2021-06-23,zonal_shear_850,0.9074
2021-06-23,orographic_index,0.7283
2021-06-23,coastal_convergence_index,0.9221
2021-06-24,mslp_anomaly,0.6149
2021-06-24,olr_anomaly,1.0876
2021-06-24,satellite_proxy,0.6271
2021-06-24,rainfall_anomaly,-0.0193
2021-06-24,lps_flag,-0.0044
2021-06-24,wd_flag,0.0
2021-06-24,trough_position_lat,-0.0284
2021-06-24,zonal_shear_850,0.6931
2021-06-24,orographic_index,1.2019
2021-06-24,coastal_convergence_index,0.3976
2021-06-25,mslp_anomaly,0.5729
2021-06-25,olr_anomaly,1.1323
2021-06-25,satellite_proxy,0.6416
2021-06-25,rainfall_anomaly,-0.0169
2021-06-25,lps_flag,-0.0105
2021-06-25,wd_flag,0.0
2021-06-25,trough_position_lat,0.035
2021-06-25,zonal_shear_850,0.7168
2021-06-25,orographic_index,1.1003
2021-06-25,coastal_convergence_index,0.3985
2021-06-26,mslp_anomaly,0.6022
2021-06-26,olr_anomaly,1.2852
2021-06-26,satellite_proxy,0.6419
2021-06-26,rainfall_anomaly,0.0175
2021-06-26,lps_flag,-0.0105
2021-06-26,wd_flag,0.0
2021-06-26,trough_position_lat,0.035
2021-06-26,zonal_shear_850,0.8017
2021-06-26,orographic_index,0.9133
2021-06-26,coastal_convergence_index,0.2837
2021-06-27,mslp_anomaly,0.5918
2021-06-27,olr_anomaly,1.0047
2021-06-27,satellite_proxy,0.6749
2021-06-27,rainfall_anomaly,0.113
2021-06-27,lps_flag,-0.0105
2021-06-27,wd_flag,0.0
2021-06-27,trough_position_lat,0.035
2021-06-27,zonal_shear_850,0.6447
2021-06-27,orographic_index,1.1267
2021-06-27,coastal_convergence_index,0.3897
2021-06-28,mslp_anomaly,0.6929
2021-06-28,olr_anomaly,1.0047
2021-06-28,satellite_proxy,0.6749
2021-06-28,rainfall_anomaly,0.113
2021-06-28,lps_flag,-0.0105
2021-06-28,wd_flag,0.0
2021-06-28,trough_position_lat,-0.0284
2021-06-28,zonal_shear_850,0.6447
2021-06-28,orographic_index,1.1188
2021-06-28,coastal_convergence_index,0.3599
2021-06-29,mslp_anomaly,0.5918
2021-06-29,olr_anomaly,1.171
2021-06-29,satellite_proxy,0.6749
2021-06-29,rainfall_anomaly,0.0942
2021-06-29,lps_flag,-0.0105
2021-06-29,wd_flag,0.0
2021-06-29,trough_position_lat,0.035
2021-06-29,zonal_shear_850,0.7944
2021-06-29,orographic_index,0.9355
2021-06-29,coastal_convergence_index,0.2837
2021-06-30,mslp_anomaly,0.5808
2021-06-30,olr_anomaly,1.171
2021-06-30,satellite_proxy,0.6749
2021-06-30,rainfall_anomaly,0.1002
2021-06-30,lps_flag,-0.0105
2021-06-30,wd_flag,0.0
2021-06-30,trough_position_lat,0.035
2021-06-30,zonal_shear_850,0.7944
2021-06-30,orographic_index,0.9377
2021-06-30,coastal_convergence_index,0.2866
2021-07-01,mslp_anomaly,0.5808
2021-07-01,olr_anomaly,1.171
2021-07-01,satellite_proxy,0.6749
2021-07-01,rainfall_anomaly,0.1002
2021-07-01,lps_flag,-0.0105
2021-07-01,wd_flag,0.0
2021-07-01,trough_position_lat,0.035
2021-07-01,zonal_shear_850,0.7944
2021-07-01,orographic_index,0.9377
2021-07-01,coastal_convergence_index,0.2866
2021-07-02,mslp_anomaly,0.6929
2021-07-02,olr_anomaly,1.171
2021-07-02,satellite_proxy,0.6749
2021-07-02,rainfall_anomaly,0.0942
2021-07-02,lps_flag,-0.0105
2021-07-02,wd_flag,0.0
2021-07-02,trough_position_lat,-0.0284
2021-07-02,zonal_shear_850,0.7944
2021-07-02,orographic_index,0.9276
2021-07-02,coastal_convergence_index,0.2539
2021-07-03,mslp_anomaly,0.6929
2021-07-03,olr_anomaly,1.171
2021-07-03,satellite_proxy,0.6749
2021-07-03,rainfall_anomaly,0.0942
2021-07-03,lps_flag,-0.0105
2021-07-03,wd_flag,0.0
2021-07-03,trough_position_lat,-0.0284
2021-07-03,zonal_shear_850,0.7944
2021-07-03,orographic_index,0.9276
2021-07-03,coastal_convergence_index,0.2539
2021-07-04,mslp_anomaly,0.6929
2021-07-04,olr_anomaly,1.171
2021-07-04,satellite_proxy,0.6749
2021-07-04,rainfall_anomaly,0.0942
2021-07-04,lps_flag,-0.0105
2021-07-04,wd_flag,0.0
2021-07-04,trough_position_lat,-0.0284
2021-07-04,zonal_shear_850,0.7944
2021-07-04,orographic_index,0.9276
2021-07-04,coastal_convergence_index,0.2539
2021-07-05,mslp_anomaly,0.5918
2021-07-05,olr_anomaly,1.1664
2021-07-05,satellite_proxy,0.6749
2021-07-05,rainfall_anomaly,0.0988
2021-07-05,lps_flag,-0.0105
2021-07-05,wd_flag,0.0
2021-07-05,trough_position_lat,0.035
2021-07-05,zonal_shear_850,0.7944
2021-07-05,orographic_index,0.9355
2021-07-05,coastal_convergence_index,0.2837
2021-07-06,mslp_anomaly,0.6929
2021-07-06,olr_anomaly,1.1664
2021-07-06,satellite_proxy,0.6749
2021-07-06,rainfall_anomaly,0.0988
2021-07-06,lps_flag,-0.0105
2021-07-06,wd_flag,0.0
2021-07-06,trough_position_lat,-0.0284
2021-07-06,zonal_shear_850,0.7944
2021-07-06,orographic_index,0.9276
2021-07-06,coastal_convergence_index,0.2539
2021-07-07,mslp_anomaly,0.7074
2021-07-07,olr_anomaly,1.2872
2021-07-07,satellite_proxy,0.6419
2021-07-07,rainfall_anomaly,-0.0342
2021-07-07,lps_flag,-0.0105
2021-07-07,wd_flag,0.0
2021-07-07,trough_position_lat,-0.0284
2021-07-07,zonal_shear_850,0.8324
2021-07-07,orographic_index,0.9224
2021-07-07,coastal_convergence_index,0.2519
2021-07-08,mslp_anomaly,0.6908
2021-07-08,olr_anomaly,1.2852
2021-07-08,satellite_proxy,0.6747
2021-07-08,rainfall_anomaly,0.0006
2021-07-08,lps_flag,-0.0105
2021-07-08,wd_flag,0.0
2021-07-08,trough_position_lat,-0.0284
2021-07-08,zonal_shear_850,0.7962
2021-07-08,orographic_index,0.9058
2021-07-08,coastal_convergence_index,0.2557
2021-07-09,mslp_anomaly,0.6058
2021-07-09,olr_anomaly,1.1323
2021-07-09,satellite_proxy,0.6416
2021-07-09,rainfall_anomaly,-0.0375
2021-07-09,lps_flag,-0.0105
2021-07-09,wd_flag,0.0
2021-07-09,trough_position_lat,0.035
2021-07-09,zonal_shear_850,0.7168
2021-07-09,orographic_index,1.0988
2021-07-09,coastal_convergence_index,0.3876
2021-07-10,mslp_anomaly,0.674
2021-07-10,olr_anomaly,1.1323
2021-07-10,satellite_proxy,0.6416
2021-07-10,rainfall_anomaly,-0.0169
2021-07-10,lps_flag,-0.0105
2021-07-10,wd_flag,0.0
2021-07-10,trough_position_lat,-0.0284
2021-07-10,zonal_shear_850,0.7168
2021-07-10,orographic_index,1.0924
2021-07-10,coastal_convergence_index,0.3686
2021-07-11,mslp_anomaly,0.6058
2021-07-11,olr_anomaly,1.1323
2021-07-11,satellite_proxy,0.6416
2021-07-11,rainfall_anomaly,-0.0375
2021-07-11,lps_flag,-0.0105
2021-07-11,wd_flag,0.0
2021-07-11,trough_position_lat,0.035
2021-07-11,zonal_shear_850,0.7168
2021-07-11,orographic_index,1.0989
2021-07-11,coastal_convergence_index,0.3876
2021-07-12,mslp_anomaly,0.6904
2021-07-12,olr_anomaly,1.2852
2021-07-12,satellite_proxy,0.6744
2021-07-12,rainfall_anomaly,0.0012
2021-07-12,lps_flag,-0.0105
2021-07-12,wd_flag,0.0
2021-07-12,trough_position_lat,-0.0284
2021-07-12,zonal_shear_850,0.796
2021-07-12,orographic_index,0.906
2021-07-12,coastal_convergence_index,0.2557
2021-07-13,mslp_anomaly,0.5895
2021-07-13,olr_anomaly,1.1303
2021-07-13,satellite_proxy,0.6746
2021-07-13,rainfall_anomaly,0.0136
2021-07-13,lps_flag,-0.0105
2021-07-13,wd_flag,0.0
2021-07-13,trough_position_lat,0.035
2021-07-13,zonal_shear_850,0.6465
2021-07-13,orographic_index,1.0994
2021-07-13,coastal_convergence_index,0.3916
2021-07-14,mslp_anomaly,0.1795
2021-07-14,olr_anomaly,0.0588
2021-07-14,satellite_proxy,0.0333
2021-07-14,rainfall_anomaly,-0.0243
2021-07-14,lps_flag,-0.0041
2021-07-14,wd_flag,0.0385
2021-07-14,trough_position_lat,0.0789
2021-07-14,zonal_shear_850,0.8153
2021-07-14,orographic_index,0.7438
2021-07-14,coastal_convergence_index,0.9536
2021-07-15,mslp_anomaly,0.1812
2021-07-15,olr_anomaly,0.0749
2021-07-15,satellite_proxy,-0.0618
2021-07-15,rainfall_anomaly,-0.022
2021-07-15,lps_flag,-0.0041
2021-07-15,wd_flag,0.0373
2021-07-15,trough_position_lat,-0.0054
2021-07-15,zonal_shear_850,0.8873
2021-07-15,orographic_index,0.7609
2021-07-15,coastal_convergence_index,0.9314
2021-07-16,mslp_anomaly,0.0037
2021-07-16,olr_anomaly,0.0171
2021-07-16,satellite_proxy,1e-04
2021-07-16,rainfall_anomaly,8.0468
2021-07-16,lps_flag,0.0
2021-07-16,wd_flag,0.0
2021-07-16,trough_position_lat,0.0
2021-07-16,zonal_shear_850,0.0071
2021-07-16,orographic_index,-0.0476
2021-07-16,coastal_convergence_index,-0.0179
2021-07-17,mslp_anomaly,0.0037
2021-07-17,olr_anomaly,0.0171
2021-07-17,satellite_proxy,1e-04
2021-07-17,rainfall_anomaly,8.0534
2021-07-17,lps_flag,0.0
2021-07-17,wd_flag,0.0
2021-07-17,trough_position_lat,0.0
2021-07-17,zonal_shear_850,0.0071
2021-07-17,orographic_index,-0.0478
2021-07-17,coastal_convergence_index,-0.0237
2021-07-18,mslp_anomaly,0.002
2021-07-18,olr_anomaly,0.0092
2021-07-18,satellite_proxy,1e-04
2021-07-18,rainfall_anomaly,7.2476
2021-07-18,lps_flag,0.0
2021-07-18,wd_flag,0.0
2021-07-18,trough_position_lat,0.0
2021-07-18,zonal_shear_850,0.0038
2021-07-18,orographic_index,-0.035
2021-07-18,coastal_convergence_index,0.7822
2021-07-19,mslp_anomaly,0.0037
2021-07-19,olr_anomaly,0.0171
2021-07-19,satellite_proxy,1e-04
2021-07-19,rainfall_anomaly,8.0534
2021-07-19,lps_flag,0.0
2021-07-19,wd_flag,0.0
2021-07-19,trough_position_lat,0.0
2021-07-19,zonal_shear_850,0.0071
2021-07-19,orographic_index,-0.0478
2021-07-19,coastal_convergence_index,-0.0237
2021-07-20,mslp_anomaly,0.0037
2021-07-20,olr_anomaly,0.0171
2021-07-20,satellite_proxy,1e-04
2021-07-20,rainfall_anomaly,8.0534
2021-07-20,lps_flag,0.0
2021-07-20,wd_flag,0.0
2021-07-20,trough_position_lat,0.0
2021-07-20,zonal_shear_850,0.0071
2021-07-20,orographic_index,-0.0478
2021-07-20,coastal_convergence_index,-0.0237
2021-07-21,mslp_anomaly,0.002
2021-07-21,olr_anomaly,0.0092
2021-07-21,satellite_proxy,1e-04
2021-07-21,rainfall_anomaly,7.2476
2021-07-21,lps_flag,0.0
2021-07-21,wd_flag,0.0
2021-07-21,trough_position_lat,0.0
2021-07-21,zonal_shear_850,0.0038
2021-07-21,orographic_index,-0.035
2021-07-21,coastal_convergence_index,0.7822
2021-07-22,mslp_anomaly,0.002
2021-07-22,olr_anomaly,0.0092
2021-07-22,satellite_proxy,1e-04
2021-07-22,rainfall_anomaly,7.252
2021-07-22,lps_flag,0.0
2021-07-22,wd_flag,0.0
2021-07-22,trough_position_lat,0.0
2021-07-22,zonal_shear_850,0.0038
2021-07-22,orographic_index,-0.0355
2021-07-22,coastal_convergence_index,0.7783
2021-07-23,mslp_anomaly,0.0
2021-07-23,olr_anomaly,0.0
2021-07-23,satellite_proxy,0.0
2021-07-23,rainfall_anomaly,-0.0
2021-07-23,lps_flag,10.3325
2021-07-23,wd_flag,0.0
2021-07-23,trough_position_lat,0.0
2021-07-23,zonal_shear_850,0.0
2021-07-23,orographic_index,0.0
2021-07-23,coastal_convergence_index,0.0
2021-07-24,mslp_anomaly,-0.0
2021-07-24,olr_anomaly,-0.0
2021-07-24,satellite_proxy,0.0
2021-07-24,rainfall_anomaly,0.0
2021-07-24,lps_flag,10.3325
2021-07-24,wd_flag,0.0
2021-07-24,trough_position_lat,0.0
2021-07-24,zonal_shear_850,0.0
2021-07-24,orographic_index,0.0
2021-07-24,coastal_convergence_index,-0.0
2021-07-25,mslp_anomaly,-0.0
2021-07-25,olr_anomaly,-0.0
2021-07-25,satellite_proxy,0.0
2021-07-25,rainfall_anomaly,0.0
2021-07-25,lps_flag,10.3325
2021-07-25,wd_flag,0.0
2021-07-25,trough_position_lat,0.0
2021-07-25,zonal_shear_850,0.0
2021-07-25,orographic_index,0.0
2021-07-25,coastal_convergence_index,-0.0
2021-07-26,mslp_anomaly,-0.0
2021-07-26,olr_anomaly,-0.0
2021-07-26,satellite_proxy,0.0
2021-07-26,rainfall_anomaly,0.0
2021-07-26,lps_flag,10.3325
2021-07-26,wd_flag,0.0
2021-07-26,trough_position_lat,0.0
2021-07-26,zonal_shear_850,0.0
2021-07-26,orographic_index,0.0
2021-07-26,coastal_convergence_index,-0.0
2021-07-27,mslp_anomaly,0.6058
2021-07-27,olr_anomaly,1.2871
2021-07-27,satellite_proxy,0.6416
2021-07-27,rainfall_anomaly,-0.0334
2021-07-27,lps_flag,-0.0105
2021-07-27,wd_flag,0.0
2021-07-27,trough_position_lat,0.035
2021-07-27,zonal_shear_850,0.8323
2021-07-27,orographic_index,0.9306
2021-07-27,coastal_convergence_index,0.2816
2021-07-28,mslp_anomaly,0.7071
2021-07-28,olr_anomaly,1.2872
2021-07-28,satellite_proxy,0.6417
2021-07-28,rainfall_anomaly,-0.0334
2021-07-28,lps_flag,-0.0105
2021-07-28,wd_flag,0.0
2021-07-28,trough_position_lat,-0.0284
2021-07-28,zonal_shear_850,0.8323
2021-07-28,orographic_index,0.9224
2021-07-28,coastal_convergence_index,0.2517
2021-07-29,mslp_anomaly,0.6022
2021-07-29,olr_anomaly,1.1304
2021-07-29,satellite_proxy,0.6419
2021-07-29,rainfall_anomaly,0.0306
2021-07-29,lps_flag,-0.0105
2021-07-29,wd_flag,0.0
2021-07-29,trough_position_lat,0.035
2021-07-29,zonal_shear_850,0.652
2021-07-29,orographic_index,1.0987
2021-07-29,coastal_convergence_index,0.3897
2021-07-30,mslp_anomaly,0.5918
2021-07-30,olr_anomaly,1.0001
2021-07-30,satellite_proxy,0.6749
2021-07-30,rainfall_anomaly,0.1176
2021-07-30,lps_flag,-0.0105
2021-07-30,wd_flag,0.0
2021-07-30,trough_position_lat,0.035
2021-07-30,zonal_shear_850,0.6447
2021-07-30,orographic_index,1.1267
2021-07-30,coastal_convergence_index,0.3897
2021-07-31,mslp_anomaly,0.6929
2021-07-31,olr_anomaly,1.171
2021-07-31,satellite_proxy,0.6749
2021-07-31,rainfall_anomaly,0.0942
2021-07-31,lps_flag,-0.0105
2021-07-31,wd_flag,0.0
2021-07-31,trough_position_lat,-0.0284
2021-07-31,zonal_shear_850,0.7944
2021-07-31,orographic_index,0.9276
2021-07-31,coastal_convergence_index,0.2539
2021-08-01,mslp_anomaly,0.5897
2021-08-01,olr_anomaly,1.2852
2021-08-01,satellite_proxy,0.6749
2021-08-01,rainfall_anomaly,0.0006
2021-08-01,lps_flag,-0.0105
2021-08-01,wd_flag,0.0
2021-08-01,trough_position_lat,0.035
2021-08-01,zonal_shear_850,0.7962
2021-08-01,orographic_index,0.9136
2021-08-01,coastal_convergence_index,0.2854
2021-08-02,mslp_anomaly,0.5897
2021-08-02,olr_anomaly,1.2852
2021-08-02,satellite_proxy,0.6749
2021-08-02,rainfall_anomaly,0.0006
2021-08-02,lps_flag,-0.0105
2021-08-02,wd_flag,0.0
2021-08-02,trough_position_lat,0.035
2021-08-02,zonal_shear_850,0.7962
2021-08-02,orographic_index,0.9136
2021-08-02,coastal_convergence_index,0.2854
2021-08-03,mslp_anomaly,0.7071
2021-08-03,olr_anomaly,1.2872
2021-08-03,satellite_proxy,0.642
2021-08-03,rainfall_anomaly,-0.0334
2021-08-03,lps_flag,-0.0105
2021-08-03,wd_flag,0.0
2021-08-03,trough_position_lat,-0.0284
2021-08-03,zonal_shear_850,0.8323
2021-08-03,orographic_index,0.9222
2021-08-03,coastal_convergence_index,0.2516
2021-08-04,mslp_anomaly,0.6742
2021-08-04,olr_anomaly,1.2872
2021-08-04,satellite_proxy,0.6417
2021-08-04,rainfall_anomaly,-0.0128
2021-08-04,lps_flag,-0.0105
2021-08-04,wd_flag,0.0
2021-08-04,trough_position_lat,-0.0284
2021-08-04,zonal_shear_850,0.8323
2021-08-04,orographic_index,0.9238
2021-08-04,coastal_convergence_index,0.2626
2021-08-05,mslp_anomaly,0.5731
2021-08-05,olr_anomaly,1.2872
2021-08-05,satellite_proxy,0.642
2021-08-05,rainfall_anomaly,-0.0128
2021-08-05,lps_flag,-0.0105
2021-08-05,wd_flag,0.0
2021-08-05,trough_position_lat,0.035
2021-08-05,zonal_shear_850,0.8323
2021-08-05,orographic_index,0.9316
2021-08-05,coastal_convergence_index,0.2923
2021-08-06,mslp_anomaly,0.606
2021-08-06,olr_anomaly,1.2872
2021-08-06,satellite_proxy,0.642
2021-08-06,rainfall_anomaly,-0.0334
2021-08-06,lps_flag,-0.0105
2021-08-06,wd_flag,0.0
2021-08-06,trough_position_lat,0.035
2021-08-06,zonal_shear_850,0.8323
2021-08-06,orographic_index,0.9302
2021-08-06,coastal_convergence_index,0.2815
2021-08-07,mslp_anomaly,0.7071
2021-08-07,olr_anomaly,1.2872
2021-08-07,satellite_proxy,0.642
2021-08-07,rainfall_anomaly,-0.0334
2021-08-07,lps_flag,-0.0105
2021-08-07,wd_flag,0.0
2021-08-07,trough_position_lat,-0.0284
2021-08-07,zonal_shear_850,0.8323
2021-08-07,orographic_index,0.9222
2021-08-07,coastal_convergence_index,0.2516
2021-08-08,mslp_anomaly,0.5918
2021-08-08,olr_anomaly,1.1664
2021-08-08,satellite_proxy,0.6749
2021-08-08,rainfall_anomaly,0.0988
2021-08-08,lps_flag,-0.0105
2021-08-08,wd_flag,0.0
2021-08-08,trough_position_lat,0.035
2021-08-08,zonal_shear_850,0.7944
2021-08-08,orographic_index,0.9355
2021-08-08,coastal_convergence_index,0.2837
2021-08-09,mslp_anomaly,0.5918
2021-08-09,olr_anomaly,1.171
2021-08-09,satellite_proxy,0.6749
2021-08-09,rainfall_anomaly,0.0942
2021-08-09,lps_flag,-0.0105
2021-08-09,wd_flag,0.0
2021-08-09,trough_position_lat,0.035
2021-08-09,zonal_shear_850,0.7944
2021-08-09,orographic_index,0.9355
2021-08-09,coastal_convergence_index,0.2837
2021-08-10,mslp_anomaly,0.5918
